"sound.files","duration","selec","start","end","class"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.106100003536682,23,147.662824922107,147.768924925644,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0248500008283372,27,147.803274926789,147.828124927617,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0754500025150264,32,147.904294930156,147.979744932671,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0661500022050063,36,148.302444943428,148.368594945633,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0605600020186614,37,148.602454953428,148.663014955447,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0435400014513334,39,148.823154960785,148.866694962236,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.00778000025931647,40,148.872594962433,148.880374962692,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.00852000028399402,41,148.891284963056,148.89980496334,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0281900009396736,44,149.365854978875,149.394044979815,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0334600011153157,45,149.72990499101,149.763364992125,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0047900001596588,46,149.770934992378,149.775724992537,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0387800012926505,48,149.94949499833,149.988274999622,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0252900008430004,54,150.321155010719,150.346445011562,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.00565000018835349,55,150.352845011775,150.358495011963,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0377300012576711,56,150.590915019711,150.628645020968,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.0345400011513277,57,150.696975023246,150.731515024397,"true.positive"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",0.00431000014364713,60,150.960645032035,150.964955032179,"true.positive"
