"original.sound.files","sound.files","start","end"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav","A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103-3.wav",600,900
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav","A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103-4.wav",900,1061.912575
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101-1.wav",0,300
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101-2.wav",300,300.875775
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115-1.wav",0,300
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115-2.wav",300,300.77747
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110-1.wav",0,300
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110-2.wav",300,300.77747
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127-1.wav",0,300
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127-2.wav",300,300.67917
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128-1.wav",0,300
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128.wav","B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 id 128-2.wav",300,300.67917
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-1.wav",0,300
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-2.wav",300,600
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-3.wav",600,900
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-4.wav",900,1054.34317
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-1.wav",0,300
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-2.wav",300,600
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-3.wav",600,900
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-4.wav",900,1040.90829
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-1.wav",0,300
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-2.wav",300,600
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-3.wav",600,900
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-4.wav",900,1048.28109
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-1.wav",0,300
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-2.wav",300,600
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-3.wav",600,900
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-4.wav",900,1045.200895
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-1.wav",0,300
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-2.wav",300,600
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-3.wav",600,900
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128.wav","B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-4.wav",900,1061.912575
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 id 97.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 id 97-1.wav",0,300
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 id 97.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 id 97-2.wav",300,300.875775
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 147.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 147-1.wav",0,300
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 147.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 147-2.wav",300,300.77747
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 129.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 129-1.wav",0,300
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 129.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 129-2.wav",300,300.77747
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 122.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 122-1.wav",0,300
