"sound.files","start","end","counts","duration","rate","minute"
"A_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-16_0000005 id 103.wav",300,300.67917,0,0.679169999999999,0,6
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",0,60,0,60,0,1
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",60,120,0,60,0,2
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",120,180,77,60,1.28333333333333,3
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",180,240,241,60,4.01666666666667,4
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",240,300,125,60,2.08333333333333,5
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",300,360,171,60,2.85,6
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",360,420,190,60,3.16666666666667,7
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",420,480,139,60,2.31666666666667,8
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",480,540,138,60,2.3,9
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",540,600,148,60,2.46666666666667,10
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",600,660,93,60,1.55,11
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",660,720,255,60,4.25,12
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",720,780,122,60,2.03333333333333,13
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",780,840,58,60,0.966666666666667,14
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",840,900,168,60,2.8,15
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",900,960,88,60,1.46666666666667,16
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",960,1020,48,60,0.8,17
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145.wav",1020,1054.34317,78,34.3431700000001,2.27119395210168,18
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",0,60,3,60,0.05,1
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",60,120,1,60,0.0166666666666667,2
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",120,180,165,60,2.75,3
